ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Erpetoichthys calabaricus,Erpetoichthys calabaricus,451269,ncbi:27687;worms:280711;gbif:2346564;irmng:10449106
Polypterus senegalus,Polypterus senegalus,1064124,ncbi:55291;gbif:4287129;irmng:11371883
Thalassophryne amazonica,Thalassophryne amazonica,409649,ncbi:390379;gbif:2350895;irmng:10451986
Oncorhynchus nerka,Oncorhynchus nerka,165375,ncbi:8023;worms:254569;gbif:5204039;irmng:11368252
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,739927,ncbi:8017;worms:127182;gbif:5204037;irmng:10852810
Nothobranchius furzeri,Nothobranchius furzeri,513643,ncbi:105023;gbif:2348706;irmng:10157261
Entelurus aequoreus,Entelurus aequoreus,971459,ncbi:161455;worms:127379;gbif:2333112;irmng:10575786
Oncorhynchus clarkii lewisi,Oncorhynchus clarkii lewisi,643984,ncbi:490388
Oncorhynchus kisutch,Oncorhynchus kisutch,739917,ncbi:8019;worms:127184;gbif:5204034;irmng:11423601
Nerophis ophidion,Nerophis ophidion,806821,ncbi:159077;worms:127385;gbif:2333329;irmng:10150976
Oncorhynchus masou masou,Oncorhynchus masou masou,207835,ncbi:90313
Conger conger,Conger conger,142596,ncbi:82655;worms:126285;gbif:2403490;irmng:10571202
Salvelinus alpinus,Salvelinus alpinus,688324,ncbi:8036;gbif:4284021;irmng:11217742
Danio rerio,Danio rerio,1005914,ncbi:7955;gbif:9797255;irmng:11303984
Corythoichthys intestinalis,Corythoichthys intestinalis,445219,ncbi:161448;worms:217995;gbif:2333131;irmng:11403203
Coregonus clupeaformis,Coregonus clupeaformis,629345,ncbi:59861;worms:158726;gbif:2351119;irmng:11328077
Sphaeramia orbicularis,Sphaeramia orbicularis,344060,ncbi:375764;worms:209408;gbif:2396949;irmng:10758041
Anguilla rostrata,Anguilla rostrata,854212,ncbi:7938;worms:158562;gbif:5212956;irmng:10940832
Engraulis encrasicolus,Engraulis encrasicolus,222963,ncbi:184585;worms:126426;gbif:2414031;irmng:11310150
Danio aesculapii,Danio aesculapii,747161,ncbi:1142201;gbif:2362722
Salmo trutta,Salmo trutta,688332,ncbi:8032;gbif:8215487;irmng:10570928
Astyanax mexicanus,Astyanax mexicanus,701518,ncbi:7994;gbif:5204344;irmng:10150981
Cheilinus undulatus,Cheilinus undulatus,195578,ncbi:241271;worms:218945;gbif:2383313;irmng:10824333
Salvelinus fontinalis,Salvelinus fontinalis,688339,ncbi:8038;worms:154241;gbif:2351271;irmng:10154301
Chanos chanos,Chanos chanos,575844,ncbi:29144;worms:217625;gbif:2406374;irmng:10144922
Nematolebias whitei,Nematolebias whitei,669495,ncbi:451745;gbif:2349543;irmng:10143005
Garra rufa,Garra rufa,709588,ncbi:137080;gbif:2366850;irmng:11267174
Polyodon spathula,Polyodon spathula,904101,ncbi:7913;gbif:5212833;irmng:10145191
Myxocyprinus asiaticus,Myxocyprinus asiaticus,141409,ncbi:70543;gbif:2359106;irmng:10148328
Cololabis saira,Cololabis saira,427511,ncbi:129043;worms:280366;gbif:2369261;irmng:11288005
Pseudorasbora parva,Pseudorasbora parva,205442,ncbi:51549;gbif:2362868;irmng:10154576;irmng:10149383
Girardinichthys multiradiatus,Girardinichthys multiradiatus,316487,ncbi:208333;gbif:2347728;irmng:10152222
Epinephelus lanceolatus,Epinephelus lanceolatus,772661,ncbi:310571;worms:218224;gbif:2388587;irmng:10153941
Nerophis lumbriciformis,Nerophis lumbriciformis,799255,ncbi:546530;worms:127383;gbif:2333323;irmng:11403709
Salvelinus namaycush,Salvelinus namaycush,114152,ncbi:8040;worms:567548;gbif:2351327;irmng:10810930
Epinephelus fuscoguttatus,Epinephelus fuscoguttatus,1052149,ncbi:293821;worms:218218;gbif:2388440;irmng:10157088
Xyrauchen texanus,Xyrauchen texanus,1048754,ncbi:154827;gbif:2359095;irmng:10838232
Epinephelus moara,Epinephelus moara,763325,ncbi:300413
Pseudochaenichthys georgianus,Pseudochaenichthys georgianus,684011,ncbi:52239;worms:234667;gbif:2389943;irmng:10834374
Acipenser ruthenus,Acipenser ruthenus,378930,ncbi:7906;worms:233941;gbif:2402168;irmng:11372880
Chanodichthys erythropterus,Chanodichthys erythropterus,638546,ncbi:933992;gbif:2367696
Megalobrama amblycephala,Megalobrama amblycephala,837011,ncbi:75352;gbif:2362740;irmng:10754442
